HPO term_id,HPO_term_name,phecode,phecode string,class,suppress?,# of Mendelian diseases tested with this phenotype for this study
3,Multicystic kidney dysplasia,586.2,"Cyst of kidney, acquired",,0,4
8,Abnormality of female internal genitalia,,-,,-,0
10,Recurrent urinary tract infections,591,Urinary tract infection,,0,10
11,Neurogenic bladder,596.5,Functional disorders of bladder,,0,3
12,Urinary urgency,599.9,Other abnormality of urination,,0,15
13,Hypoplasia of the uterus,751.11,Congenital anomalies of female genital organs,Congenital,1,0
15,Bladder diverticulum,596,Other disorders of bladder,,0,4
16,Urinary retention,599.2,Retention of urine,,0,2
17,Nocturia,599.5,Frequency of urination and polyuria,,0,1
20,Urinary incontinence,599.4,Urinary incontinence,,0,31
21,Megacystis,751.2,Congenital anomalies of urinary system,Congenital,1,0
22,Abnormality of male internal genitalia,751.12,Congenital anomalies of male genital organs,Congenital,1,0
23,Inguinal hernia,550.1,Inguinal hernia,,0,14
24,Prostatitis,601.1,Prostatitis,,0,1
25,Functional abnormality of male internal genitalia,,-,,-,0
26,Male hypogonadism,257.1,Testicular hypofunction,,0,0
27,Azoospermia,609.11,Azoospermia and oligospermia,,0,2
28,Cryptorchidism,751.12,Congenital anomalies of male genital organs,Congenital,1,0
29,Testicular atrophy,603,Other disorders of testis,,0,5
31,Epididymitis,601.3,Orchitis and epididymitis,,0,0
33,"Ambiguous genitalia, male",751.12,Congenital anomalies of male genital organs,Congenital,1,0
34,Hydrocele testis,603.1,Hydrocele,,0,1
35,Abnormality of the testis,,-,,-,0
36,Abnormality of the penis,,-,,-,0
37,Male pseudohermaphroditism,751.1,Congenital anomalies of genital organs,Congenital,1,0
39,Epispadias,751.12,Congenital anomalies of male genital organs,Congenital,1,0
40,Long penis,,-,Congenital,-,0
41,Chordee,751.12,Congenital anomalies of male genital organs,Congenital,1,0
42,Absent external genitalia,,-,Congenital,-,0
44,Hypogonadotrophic hypogonadism,257.1,Testicular hypofunction,,0,7
46,Scrotal hypoplasia,751.12,Congenital anomalies of male genital organs,Congenital,1,0
47,Hypospadias,751.12,Congenital anomalies of male genital organs,Congenital,1,0
48,Bifid scrotum,751.12,Congenital anomalies of male genital organs,Congenital,1,0
49,Shawl scrotum,751.12,Congenital anomalies of male genital organs,Congenital,1,0
50,Hypoplastic male external genitalia,751.12,Congenital anomalies of male genital organs,Congenital,1,0
51,Perineal hypospadias,751.12,Congenital anomalies of male genital organs,Congenital,1,0
53,Macroorchidism,,-,Congenital,-,0
54,Micropenis,751.12,Congenital anomalies of male genital organs,Congenital,1,0
55,Abnormality of female external genitalia,,-,,-,0
57,Clitoromegaly,623,Hypertrophy of female genital organs,,0,2
59,Hypoplastic labia majora,751.11,Congenital anomalies of female genital organs,Congenital,1,0
60,Clitoral hypoplasia,751.11,Congenital anomalies of female genital organs,Congenital,1,0
61,"Ambiguous genitalia, female",751.11,Congenital anomalies of female genital organs,Congenital,1,0
62,Ambiguous genitalia,751.1,Congenital anomalies of genital organs,Congenital,1,0
63,Fused labia minora,751.11,Congenital anomalies of female genital organs,Congenital,1,0
64,Hypoplastic labia minora,751.11,Congenital anomalies of female genital organs,Congenital,1,0
65,Labial hypertrophy,623,Hypertrophy of female genital organs,,0,2
66,Labial hypoplasia,751.11,Congenital anomalies of female genital organs,Congenital,1,0
68,Urethral atresia,751.2,Congenital anomalies of urinary system,Congenital,1,0
69,Abnormality of the ureter,,-,,-,0
70,Ureterocele,751.3,Obstructive genitourinary defect,Congenital,1,0
71,Ureteral stenosis,586.4,Stricture/obstruction of ureter,,0,0
72,Hydroureter,586.4,Stricture/obstruction of ureter,,0,1
73,Ureteral duplication,751.2,Congenital anomalies of urinary system,Congenital,1,0
74,Ureteropelvic junction obstruction,586.4,Stricture/obstruction of ureter,,0,1
75,Renal duplication,751.22,Other specified congenital anomalies of kidney,Congenital,1,0
76,Vesicoureteral reflux,586.12,Vesicoureteral reflux,,0,7
77,Abnormality of the kidney,,-,,-,0
78,Abnormality of the genital system,,-,,-,0
79,Abnormality of the urinary system,,-,Congenital,-,0
80,Abnormality of reproductive system physiology,,-,,-,0
81,Duplicated collecting system,751.22,Other specified congenital anomalies of kidney,Congenital,1,0
83,Renal insufficiency,585.2,Renal failure NOS,,0,44
85,Horseshoe kidney,751.22,Other specified congenital anomalies of kidney,Congenital,1,0
86,Ectopic kidney,751.22,Other specified congenital anomalies of kidney,Congenital,1,0
89,Renal hypoplasia,586.11,Small kidney,,0,5
90,Nephronophthisis,751.21,Cystic kidney disease,Congenital,1,0
91,Abnormality of the renal tubule,,-,,-,0
92,Tubular atrophy,,-,,-,0
93,Proteinuria,269,Proteinuria,,0,48
96,Glomerulosclerosis,580.12,Non-proliferative glomerulonephritis,,0,3
