,ICD10,ICD10_formatted,PHECODE
0,Q75.0,Q750,749.2
1,G44.3,G443,339.0
2,C76.7,C767,195.1
3,D09.2,D092,190.0
4,A88.8,A888,323.0
5,Q22,Q22,747.12
6,Q61.3,Q613,751.21
7,I85,I85,530.2
8,G52.9,G529,352.0
9,I31.2,I312,420.22
10,I27.9,I279,415.2
11,K22.3,K223,530.0
12,F65.4,F654,302.0
13,O98.4,O984,649.0
14,D47.3,D473,200.0
15,C51-C58.9,C51-C589,184.1
16,I65.1,I651,433.1
17,A17,A17,10.0
18,T16,T16,1001.0
19,O98.4,O984,647.0
20,A60,A60,54.0
21,F60.0,F600,301.0
22,H31.0,H310,363.3
23,N29,N29,586.0
24,N25.8,N258,588.0
25,E27.9,E279,255.0
26,Q65.9,Q659,755.61
27,R07.1,R071,512.2
28,M50.2,M502,722.1
29,H44.2,H442,360.2
30,N39.4,N394,599.4
31,Q92,Q92,758.1
32,C63.0,C630,187.1
33,D22,D22,216.0
34,S70-S79.9,S70-S799,1009.0
35,B52.0,B520,580.2
36,N82.3,N823,617.0
37,T22.3,T223,1000.0
38,M85.8,M858,733.0
39,T84.9,T849,858.0
40,S01.8,S018,870.3
41,B52.0,B520,133.0
42,I80.1,I801,451.2
43,S55.2,S552,1007.0
44,C51.9,C519,184.2
45,H20.1,H201,371.1
46,R51,R51,339.0
47,E66.0,E660,278.1
48,S70.7,S707,915.0
49,S32.5,S325,802.0
50,H02.5,H025,374.0
51,Q32.2,Q322,748.0
52,D21.3,D213,215.0
53,H90.7,H907,389.0
54,K03.8,K038,521.0
55,F80.2,F802,315.2
56,N89.9,N899,619.4
57,E80.1,E801,277.1
58,B78.9,B789,134.1
59,N90.2,N902,620.0
60,O01.0,O010,634.1
61,N17.1,N171,585.1
62,Q84,Q84,757.0
63,T23.6,T236,1000.0
64,R85.0,R850,1010.0
65,G24.2,G242,333.4
66,I60-I69.9,I60-I699,433.0
67,K65.9,K659,567.0
68,B22.0,B220,348.8
69,J43.0,J430,496.1
70,B22.0,B220,71.1
71,N73.1,N731,614.32
72,Q84.5,Q845,757.0
73,N35,N35,597.1
74,Q14.8,Q148,753.2
75,C79.5,C795,198.6
76,K74.5,K745,571.6
77,F00.9,F009,290.1
78,R82.0,R820,598.0
79,J61,J61,500.2
80,T18.9,T189,1001.0
81,M86.1,M861,710.11
82,D38.4,D384,199.0
83,M61.9,M619,728.1
84,L68.3,L683,704.2
85,R86.5,R865,609.2
86,C25.3,C253,157.0
87,Z88.0,Z880,960.2
88,I61,I61,430.2
89,T81.2,T812,1015.0
90,T32.4,T324,1000.0
91,A04.9,A049,8.5
92,T80.1,T801,1011.0
93,K29.2,K292,317.1
94,N28.0,N280,586.3
95,C69,C69,190.0
96,A81.8,A818,324.0
97,C71.5,C715,191.11
98,C79.0,C790,198.0
99,F41.9,F419,300.1
100,S81.0,S810,1009.0
101,I02,I02,41.21
102,A07.2,A072,8.7
103,E04.2,E042,241.2
104,A09,A09,8.0
105,A18.8,A188,10.0
106,S56.4,S564,1009.0
107,B60.0,B600,133.0
108,T70.9,T709,1014.0
109,H16.9,H169,370.0
110,Q69.9,Q699,755.3
111,S81.0,S810,871.0
112,C48.2,C482,159.4
113,K06.2,K062,523.0
114,K41.2,K412,550.3
115,L98.0,L980,686.4
116,M91.1,M911,732.1
117,P24.3,P243,656.2
118,Q52.9,Q529,751.1
119,L66.3,L663,704.8
120,S55.0,S550,1007.0
121,R93.2,R932,575.9
122,F51.2,F512,327.6
123,Q27.4,Q274,747.0
124,K04.8,K048,522.0
125,Q28.1,Q281,747.0
126,R86.2,R862,609.2
127,R61.9,R619,705.8
128,G46.1,G461,433.31
129,L64,L64,704.1
130,B48.8,B488,117.0
131,F05.9,F059,290.2
132,Q92.9,Q929,758.1
133,L92,L92,701.5
134,N70.1,N701,614.32
135,D36.7,D367,229.0
136,C69.0,C690,190.0
137,S92.9,S929,801.0
138,C34.2,C342,165.1
139,O67.8,O678,635.2
140,G24.5,G245,333.4
141,M34.2,M342,709.3
142,T02.8,T028,1009.0
143,K40,K40,550.1
144,M12.8,M128,716.0
145,X18,X18,1014.0
146,Y65.2,Y652,1011.0
147,Q70.3,Q703,755.3
148,O04.8,O048,634.0
149,I61.5,I615,430.2
150,J15.3,J153,480.1
151,F65.1,F651,302.0
152,P54.2,P542,656.4
153,O74.0,O740,668.0
154,S92.9,S929,801.1
155,T49.8,T498,976.0
156,R87.3,R873,1010.0
157,B21.2,B212,71.1
158,O06,O06,634.3
159,Q38.2,Q382,750.13
160,G13.2,G132,331.0
161,D03.9,D039,172.11
162,S63.3,S633,840.0
163,G80.1,G801,343.0
164,Q43.6,Q436,750.21
165,S67,S67,1006.0
166,N82.9,N829,617.0
167,R94.4,R944,589.0
168,M72,M72,728.7
169,M92.7,M927,732.1
170,L24.1,L241,939.0
171,M72.5,M725,772.0
172,T59.8,T598,987.0
173,Q44.4,Q444,750.22
174,E51,E51,261.2
175,L13.9,L139,695.2
176,H04.2,H042,375.2
177,L98.3,L983,681.0
178,D63.0,D630,285.22
179,B35-B49.9,B35-B499,117.0
180,A35,A35,41.0
181,D12.0,D120,208.0
182,B42.8,B428,117.0
183,T80.8,T808,1011.0
184,S64.9,S649,907.0
185,C72.0,C720,191.1
186,O71.7,O717,665.0
187,C00.8,C008,145.1
188,K57.8,K578,562.1
189,B97.7,B977,79.0
190,B77.0,B770,134.1
191,P23.9,P239,656.0
192,I88.8,I888,289.4
193,I61.6,I616,430.2
194,I23.2,I232,411.2
195,N05.6,N056,580.32
196,B07,B07,78.0
197,D68.2,D682,286.12
198,C44.5,C445,172.2
199,Q93.5,Q935,758.1
200,C04.1,C041,145.5
201,C00-C14.9,C00-C149,149.0
202,A32,A32,41.0
203,F72.9,F729,315.3
204,P36.2,P362,657.0
205,N81.2,N812,618.2
206,M23,M23,835.0
207,O62,O62,661.0
208,J82,J82,505.0
209,W00-W19.9,W00-W199,781.0
210,P58.0,P580,656.8
211,B71.9,B719,134.1
212,A16.3,A163,10.0
213,C34.9,C349,165.1
214,S33.3,S333,1009.0
215,G06.1,G061,324.0
216,L10.5,L105,695.22
217,Q26.9,Q269,747.13
218,T86.8,T868,851.0
219,R16.1,R161,579.2
220,L98.9,L989,689.0
221,J17,J17,480.3
222,D86.0,D860,697.0
223,B36,B36,110.2
224,D06,D06,180.3
225,Z92.3,Z923,990.0
226,S33.3,S333,915.0
227,S33.3,S333,830.0
228,S83.2,S832,830.0
229,T18,T18,1001.0
230,E72.4,E724,270.21
231,Q20.6,Q206,747.11
232,I37.0,I370,395.4
233,K00,K00,520.0
234,D30.9,D309,223.0
235,B39,B39,117.1
236,L30.0,L300,939.0
237,S12.8,S128,805.0
238,F52.7,F527,302.0
239,P55.1,P551,656.1
240,Z83.3,Z833,1100.0
241,M19.1,M191,836.0
242,L44.1,L441,695.7
243,P78.8,P788,656.6
244,L87.2,L872,701.1
245,L01.0,L010,686.2
246,M65,M65,727.1
247,N88.9,N889,619.3
